section,experiment_name,experiment_type,num_bands,geometry,metric,stage1_value,stage2_value,improvement_amount,interpretation,tectonic_band_number,band_type,stage,value,computed_from_map_long
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,4.0,slow band,Stage 1,0.0,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,4.0,slow band,Stage 2,71.341446,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,4.0,slow band,Stage 2,74.134186,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,4.0,slow band,Stage 2,76.464424,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,4.0,slow band,Stage 2,0.76057214,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,false_positive_ratio,,,,band-level metric,4.0,slow band,Stage 2,0.3147996,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,4.0,slow band,Stage 2,0.0,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,5.0,fast band,Stage 1,48.592617,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,5.0,fast band,Stage 1,173.4077,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,5.0,fast band,Stage 1,175.4553,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,5.0,fast band,Stage 1,0.7719111,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,false_positive_ratio,,,,band-level metric,5.0,fast band,Stage 1,0.29548597,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,5.0,fast band,Stage 1,0.0,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,5.0,fast band,Stage 2,58.38975,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,5.0,fast band,Stage 2,140.35997,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,5.0,fast band,Stage 2,141.29196,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,5.0,fast band,Stage 2,0.79228795,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,false_positive_ratio,,,,band-level metric,5.0,fast band,Stage 2,0.26216733,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,5.0,fast band,Stage 2,0.0,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,6.0,slow band,Stage 1,56.46335,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,6.0,slow band,Stage 1,146.85765,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,6.0,slow band,Stage 1,148.32893,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,6.0,slow band,Stage 1,0.7985197,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,false_positive_ratio,,,,band-level metric,6.0,slow band,Stage 1,0.25231734,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,6.0,slow band,Stage 1,0.0,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,6.0,slow band,Stage 2,70.49096,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,6.0,slow band,Stage 2,100.27122,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,6.0,slow band,Stage 2,103.54384,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,detection_efficiency_0_to_1,,,,band-level metric,6.0,slow band,Stage 2,0.8134643,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,false_positive_ratio,,,,band-level metric,6.0,slow band,Stage 2,0.22931027,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,wrong_sign_ratio_inside_band,,,,band-level metric,6.0,slow band,Stage 2,0.0,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,velocity_update_recovery_percent,,,,band-level metric,7.0,fast band,Stage 1,48.310482,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,MAE_inside_band_m_per_s,,,,band-level metric,7.0,fast band,Stage 1,217.94923,
band_recovery,8 ideal bands,resolution_limit,8,ideal_horizontal,RMSE_inside_band_m_per_s,,,,band-level metric,7.0,fast band,Stage 1,220.88675,
